beta,seed,algorithm,label,run_tag,status,rounds,best_acc,best_round,time,comm_time,comm_MB,energy,time_at_best_acc,comm_time_at_best_acc,comm_MB_at_best_acc,energy_at_best_acc,missing_metrics,suffix
0.1,42,AutoRL_DFL_MM,AutoRL,seed42_beta0.1_autorl,complete,200,24.540000915527344,199,7163.636918081336,2018.1648673166046,8265.574401855469,148579.54573851617,7112.287269816948,2018.1648673166046,8265.574401855469,147692.38739721212,,AutoRL_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_00_18_27_numuser10_clientSelection_autorl_tagseed42_beta0.1_autorl
0.1,42,DFL_MM,DFL-MM,seed42_beta0.1_dflmm,complete,200,20.619999885559082,193,6674.404319674109,1590.8630314384511,15282.8369140625,143286.88022458146,6403.94786374297,1512.0024654646031,14747.937622070312,137959.111630083,,DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_00_15_29_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.1_dflmm
0.1,42,DFL,DFL,seed42_beta0.1_dfl,complete,200,22.18000030517578,197,10442.06414533255,7391.485602080574,30421.905784606934,178454.96571063282,10280.830157930843,7301.370941231649,30000.973754882812,175884.6473380746,,DFL_TinyImagenet_resnet8_200_lr0.01_2026_05_24_23_04_13_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.1_dfl
0.1,42,DFedPGP,DFedPGP,seed42_beta0.1_dfedpgp,complete,200,11.414999961853027,192,11689.918602842798,7391.485602080574,29799.36544418335,204078.13698642663,11271.09169836513,7125.465167253115,28656.119348526,196087.34376632166,,DFedPGP_TinyImagenet_resnet8_200_lr0.01_2026_05_24_23_06_08_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.1_dfedpgp
0.1,42,LD_SGD,LD-SGD,seed42_beta0.1_ldsgd,complete,200,15.324999809265137,185,8084.367487299984,2953.4835612412635,11977.429573059082,146114.86859156605,7507.859958734254,2750.222065012354,11173.832061767578,135721.09622618457,,LD_SGD_TinyImagenet_resnet8_200_lr0.01_2026_05_24_23_10_58_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.1_ldsgd
0.1,1024,AutoRL_DFL_MM,AutoRL,seed1024_beta0.1_autorl,complete,200,23.75,141,7733.004317333601,1861.8590862461817,8035.975112915039,158380.1383014791,5057.294608211022,1505.2200218165615,6237.44734954834,110087.54709700344,,AutoRL_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_04_24_32_numuser10_clientSelection_autorl_tagseed1024_beta0.1_autorl
0.1,1024,DFL_MM,DFL-MM,seed1024_beta0.1_dflmm,complete,200,20.8100004196167,199,7278.568541886333,1742.6543762239749,15282.8369140625,152436.69166637908,7254.6425759357435,1726.636270720511,15206.422729492188,151635.91166920154,,DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_04_02_05_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.1_dflmm
0.1,1024,DFL,DFL,seed1024_beta0.1_dfl,complete,200,21.605000495910645,200,11391.636524804004,7467.101471686377,30938.5041847229,185851.96062504832,11391.636524804004,7467.101471686377,30938.5041847229,185851.96062504832,,DFL_TinyImagenet_resnet8_200_lr0.01_2026_05_25_05_55_39_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.1_dfl
0.1,1024,DFedPGP,DFedPGP,seed1024_beta0.1_dfedpgp,complete,200,12.21500015258789,196,12832.093421675792,7467.101471686377,30305.392404556274,212612.86870841234,12593.400757357433,7334.955880762116,29705.656747817993,208361.7678217139,,DFedPGP_TinyImagenet_resnet8_200_lr0.01_2026_05_25_06_22_17_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.1_dfedpgp
0.1,1024,LD_SGD,LD-SGD,seed1024_beta0.1_ldsgd,complete,200,14.755000114440918,175,8938.95857291388,2870.3768822868456,11996.562847137451,155404.19942570935,7733.795237667636,2504.4637831288032,10504.167469024658,135503.4504313821,,LD_SGD_TinyImagenet_resnet8_200_lr0.01_2026_05_25_06_50_29_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.1_ldsgd
